INFO 2025-03-27 16:21:31,884 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-27 16:21:31,884 autoreload Waiting for apps ready_event.
DEBUG 2025-03-27 16:21:32,110 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-27 16:21:32,121 autoreload Watching dir /Users/priyankapatil/django_env/SVMS/svms_project/svms/templates with glob **/*.
DEBUG 2025-03-27 16:21:32,121 autoreload Watching dir /Users/priyankapatil/django_env/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-03-27 16:21:32,121 autoreload Watching dir /Users/priyankapatil/django_env/lib/python3.8/site-packages/django_filters/templates with glob **/*.
DEBUG 2025-03-27 16:21:32,121 autoreload Watching dir /Users/priyankapatil/django_env/SVMS/svms_project/locale with glob **/*.mo.
DEBUG 2025-03-27 16:21:32,121 autoreload Watching dir /Users/priyankapatil/django_env/SVMS/svms_project/svms/locale with glob **/*.mo.
DEBUG 2025-03-27 16:21:32,121 autoreload Watching dir /Users/priyankapatil/django_env/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-03-27 16:21:32,121 autoreload Watching dir /Users/priyankapatil/django_env/lib/python3.8/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-03-27 16:21:32,121 autoreload Watching dir /Users/priyankapatil/django_env/lib/python3.8/site-packages/django_filters/locale with glob **/*.mo.
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/db/transaction.py first seen with mtime 1738872570.0173738
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/core/checks/async_checks.py first seen with mtime 1738872569.993473
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/chardet/eucjpprober.py first seen with mtime 1739990175.4475076
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/jinja2/defaults.py first seen with mtime 1738869944.6618433
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/psycopg2/errors.py first seen with mtime 1739846430.9383185
DEBUG 2025-03-27 16:21:32,165 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/unittest/loader.py first seen with mtime 1620047434.0
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/urllib3/poolmanager.py first seen with mtime 1739990175.5286188
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/conf/global_settings.py first seen with mtime 1739219708.8458042
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/utils/version.py first seen with mtime 1738872570.078521
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/jinja2/exceptions.py first seen with mtime 1738869944.6621597
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django_filters/__init__.py first seen with mtime 1740098693.0581715
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/views/debug.py first seen with mtime 1738872570.0796924
DEBUG 2025-03-27 16:21:32,165 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/pygments/filters/__init__.py first seen with mtime 1738869944.263332
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/utils/translation/trans_real.py first seen with mtime 1738872570.0792944
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/SVMS/svms_project/svms/apps.py first seen with mtime 1739842905.32431
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django_filters/exceptions.py first seen with mtime 1740098693.058644
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/template/loaders/base.py first seen with mtime 1738872570.0699527
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/requests/exceptions.py first seen with mtime 1739990577.2240736
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/SVMS/svms_project/svms/tasks.py first seen with mtime 1742865007.3177536
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1738872570.051168
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/contrib/admin/actions.py first seen with mtime 1738872569.520863
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/chardet/sbcharsetprober.py first seen with mtime 1739990175.450692
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/chardet/latin1prober.py first seen with mtime 1739990175.4501705
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/template/utils.py first seen with mtime 1738872570.0690038
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/psycopg2/_json.py first seen with mtime 1739846430.9364662
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/kombu/clocks.py first seen with mtime 1740678729.8977962
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/dateutil/relativedelta.py first seen with mtime 1738868838.0376658
DEBUG 2025-03-27 16:21:32,166 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/transports.py first seen with mtime 1620047433.0
DEBUG 2025-03-27 16:21:32,166 autoreload File /Users/priyankapatil/django_env/lib/python3.8/site-packages/django/utils/duration.py first seen with mtime 1738872570.0752983
